Feature	Pfam
Pfam_152	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_153	GO:0005524;GO:0016887
Pfam_154	GO:0003676;GO:0005524
Pfam_155	GO:0016757
Pfam_156	GO:0005515
Pfam_157	GO:0005515
Pfam_158	GO:0005515
Pfam_159	GO:0000786;GO:0003677
Pfam_160	GO:0000786;GO:0003677
Pfam_161	GO:0004672;GO:0006468
Pfam_162	GO:0008168
Pfam_163	GO:0016491;GO:0055114
Pfam_164	GO:0016491;GO:0055114
Pfam_165	GO:0016491;GO:0020037;GO:0051536;GO:0055114
Pfam_166	GO:0016491;GO:0020037;GO:0051536;GO:0055114
Pfam_167	GO:0003885;GO:0016020;GO:0055114
Pfam_168	GO:0016491;GO:0050660;GO:0055114
Pfam_169	GO:0005515
Pfam_170	GO:0003676;GO:0008270
Pfam_171	GO:0003676;GO:0008270
Pfam_172	GO:0003676;GO:0008270
Pfam_173	GO:0006189
Pfam_174	GO:0003676;GO:0005524
Pfam_175	GO:0004499;GO:0050660;GO:0050661;GO:0055114
Pfam_176	GO:0004499;GO:0050660;GO:0050661;GO:0055114
Pfam_177	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_178	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_179	GO:0005742;GO:0030150
Pfam_180	GO:0005515
Pfam_181	GO:0055114
Pfam_182	GO:0055114
Pfam_183	GO:0008703;GO:0009231;GO:0055114
Pfam_184	GO:0003676
Pfam_185	GO:0003723
Pfam_186	GO:0003723;GO:0006396
Pfam_187	GO:0005524
Pfam_188	GO:0004497;GO:0005507;GO:0016715;GO:0055114
Pfam_189	GO:0003735
Pfam_190	GO:0005515
Pfam_191	GO:0005515
Pfam_192	GO:0008519;GO:0015696;GO:0016020
Pfam_193	GO:0016021
Pfam_194	GO:0005741;GO:0055085
Pfam_195	GO:0005515
Pfam_196	GO:0008318;GO:0018342
Pfam_197	GO:0016301
Pfam_198	GO:0004143;GO:0007205
Pfam_199	GO:0016020
Pfam_200	GO:0005524;GO:0016887
Pfam_201	GO:0016020
Pfam_202	GO:0003676;GO:0005524
Pfam_203	GO:0004386
Pfam_204	GO:0003676
Pfam_205	GO:0003676;GO:0005524
Pfam_206	GO:0003885;GO:0016020;GO:0055114
Pfam_207	GO:0016491;GO:0050660;GO:0055114
Pfam_208	GO:0000398
Pfam_209	GO:0008521;GO:0016021
Pfam_210	GO:0008521;GO:0016021
Pfam_211	GO:0003676
Pfam_212	GO:0003676
Pfam_213	GO:0003676
Pfam_214	GO:0016020;GO:0022857;GO:0055085
Pfam_215	GO:0008168
Pfam_216	GO:0016021
Pfam_217	GO:0003676
Pfam_218	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_219	GO:0004672;GO:0005524;GO:0006468
Pfam_220	GO:0005506;GO:0008610;GO:0016491;GO:0055114
Pfam_221	GO:0004177;GO:0030145
Pfam_222	GO:0005524
Pfam_223	GO:0005524
Pfam_224	GO:0005515
Pfam_225	GO:0098599
Pfam_226	GO:0005515
Pfam_227	GO:0000148;GO:0003843;GO:0006075;GO:0016020
Pfam_228	GO:0000148;GO:0003843;GO:0006075;GO:0016020
Pfam_229	GO:0000148;GO:0003843;GO:0006075;GO:0016020
Pfam_230	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_231	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_232	GO:0046854
Pfam_233	GO:0005744;GO:0030150
Pfam_234	GO:0003676
Pfam_235	GO:0003676
Pfam_236	GO:0008270
Pfam_237	GO:0005524;GO:0016887
Pfam_238	GO:0005515
Pfam_239	GO:0005515
Pfam_240	GO:0005515
Pfam_241	GO:0005515
Pfam_242	GO:0005515
Pfam_243	GO:0005515
Pfam_244	GO:0005515
Pfam_245	GO:0005779;GO:0016559
Pfam_246	GO:0006629
Pfam_247	GO:0008272;GO:0015116;GO:0016021
Pfam_248	GO:0006508
Pfam_249	GO:0003723
Pfam_250	GO:0046872
Pfam_251	GO:0005506;GO:0008610;GO:0016491;GO:0055114
Pfam_252	GO:0000776;GO:0031262
Pfam_253	GO:0004576;GO:0006486;GO:0016020
Pfam_254	GO:0004427;GO:0009678;GO:0016020;GO:1902600
Pfam_255	GO:0008080
Pfam_256	GO:0003676;GO:0005524
Pfam_257	GO:0000413;GO:0003755
Pfam_258	GO:0016491;GO:0055114
Pfam_259	GO:0016788
Pfam_260	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_261	GO:0005515
Pfam_262	GO:0009058;GO:0030170
Pfam_263	GO:0005524
Pfam_264	GO:0008171
Pfam_265	GO:0005515
Pfam_266	GO:0003676;GO:0005524
Pfam_267	GO:0005515
Pfam_268	GO:0005515
Pfam_269	GO:0006812;GO:0015299;GO:0016021;GO:0055085
Pfam_270	GO:0044238
Pfam_271	GO:0004190;GO:0016021;GO:0016485
Pfam_272	GO:0004190;GO:0016021;GO:0016485
Pfam_273	GO:0004672;GO:0005524;GO:0006468
Pfam_274	GO:0004764;GO:0055114
Pfam_275	GO:0003855
Pfam_276	GO:0005515
Pfam_277	GO:0004386
Pfam_278	GO:0003676;GO:0005524
Pfam_279	GO:0006508;GO:0008234
Pfam_280	GO:0003856;GO:0009073;GO:0016491;GO:0055114
Pfam_281	GO:0009058;GO:0030170
Pfam_282	GO:0004252;GO:0006508
Pfam_283	GO:0003824;GO:0051536
Pfam_284	GO:0035596;GO:0051539
Pfam_285	GO:0005887;GO:0055085
Pfam_286	GO:0005524;GO:0016301
Pfam_287	GO:0004672;GO:0005524;GO:0006468
Pfam_288	GO:0016021
Pfam_289	GO:0015297;GO:0016020;GO:0042910;GO:0055085
Pfam_290	GO:0004672;GO:0005524;GO:0006468
Pfam_291	GO:0004386
Pfam_292	GO:0005515
Pfam_293	GO:0005515
Pfam_294	GO:0005515
Pfam_295	GO:0005515
Pfam_296	GO:0005515
Pfam_297	GO:0003676
Pfam_298	GO:0005524
Pfam_299	GO:0004222;GO:0005524;GO:0006508
Pfam_300	GO:0016020;GO:0030001;GO:0046873;GO:0055085
Pfam_301	GO:0003677;GO:0008270
Pfam_302	GO:0005524
Pfam_303	GO:0005524
Pfam_304	GO:0015969
Pfam_305	GO:0003723
Pfam_306	GO:0005315;GO:0006817;GO:0016020
Pfam_307	GO:0005515
Pfam_308	GO:0005515
Pfam_309	GO:0005515
Pfam_310	GO:0003700;GO:0006355
Pfam_311	GO:0005525
Pfam_312	GO:0016021;GO:0016192
Pfam_313	GO:0000902
Pfam_314	GO:0003723
Pfam_315	GO:0003777;GO:0005524;GO:0007018;GO:0008017
Pfam_316	GO:0003777;GO:0005524;GO:0007018;GO:0008017
Pfam_317	GO:0004672;GO:0005524;GO:0006468
Pfam_318	GO:0005975;GO:0016773
Pfam_319	GO:0005975;GO:0016773
Pfam_320	GO:0045454
Pfam_321	GO:0004842
Pfam_322	GO:0005515
Pfam_323	GO:0005216;GO:0006811;GO:0016020;GO:0055085
Pfam_324	GO:0016020;GO:0016021
Pfam_325	GO:0016020;GO:0016021
Pfam_326	GO:0004842
Pfam_327	GO:0004842
Pfam_328	GO:0016746
Pfam_329	GO:0003676
Pfam_330	GO:0004427;GO:0009678;GO:0016020;GO:1902600
Pfam_331	GO:0005524;GO:0016887
Pfam_332	GO:0005524;GO:0016887
Pfam_333	GO:0016491;GO:0055114
Pfam_334	GO:0016491;GO:0055114
Pfam_335	GO:0045454
Pfam_336	GO:0001522;GO:0003723;GO:0009451;GO:0009982
Pfam_337	GO:0016021;GO:0016757
Pfam_338	GO:0016021;GO:0016757
Pfam_339	GO:0051287
Pfam_340	GO:0004471;GO:0055114
Pfam_341	GO:0005737
Pfam_342	GO:0016829
Pfam_343	GO:0005524
Pfam_344	GO:0005524
Pfam_345	GO:0035596;GO:0051539
Pfam_346	GO:0003824;GO:0051536
Pfam_347	GO:0005524;GO:0016887
Pfam_348	GO:0005524;GO:0016887
Pfam_349	GO:0005524;GO:0016887
Pfam_350	GO:0005524;GO:0016887
Pfam_351	GO:0005524;GO:0016887
Pfam_352	GO:0005524;GO:0016887
Pfam_353	GO:0005524;GO:0016887
Pfam_354	GO:0004853;GO:0006779
Pfam_355	GO:0005096
Pfam_356	GO:0008519;GO:0015696;GO:0016020
Pfam_357	GO:0032324
Pfam_358	GO:0005524
Pfam_359	GO:0032324
Pfam_360	GO:0003723
Pfam_361	GO:0003676;GO:0008270
Pfam_362	GO:0003676;GO:0008270
Pfam_363	GO:0003677;GO:0005634;GO:0006260
Pfam_364	GO:0004518;GO:0006281
Pfam_365	GO:0008168
Pfam_366	GO:0004427;GO:0009678;GO:0016020;GO:1902600
Pfam_367	GO:0005515
Pfam_368	GO:0005515
Pfam_369	GO:0005515
Pfam_370	GO:0005515
Pfam_371	GO:0005096
Pfam_372	GO:0004672;GO:0005524;GO:0006468
Pfam_373	GO:0004672;GO:0005524;GO:0006468
Pfam_374	GO:0016021;GO:0022857;GO:0055085
Pfam_375	GO:0003676
Pfam_376	GO:0003676
Pfam_377	GO:0003746;GO:0006414
Pfam_378	GO:0003746;GO:0006414
Pfam_379	GO:0005509
Pfam_380	GO:0005509
Pfam_381	GO:0004672;GO:0005524;GO:0006468
Pfam_382	GO:0003824
Pfam_383	GO:0009522;GO:0009538;GO:0015979
Pfam_384	GO:0005515
Pfam_385	GO:0004190;GO:0016021
Pfam_386	GO:0004190;GO:0016021
Pfam_387	GO:0000166;GO:0004812;GO:0005524;GO:0006418
Pfam_388	GO:0016787
Pfam_389	GO:0000160
Pfam_390	GO:0003677;GO:0006355
